country_name,ISOCODE,Region,Income group,Lending category
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,IBRD
Algeria,DZA,Middle East & North Africa,Lower middle income,IBRD
Ecuador,ECU,Latin America & Caribbean,Upper middle income,IBRD
Egypt,EGY,Middle East & North Africa,Lower middle income,IBRD
Eritrea,ERI,Sub-Saharan Africa,Low income,IDA
Spain,ESP,Europe & Central Asia,High income,
Estonia,EST,Europe & Central Asia,High income,
Ethiopia,ETH,Sub-Saharan Africa,Low income,IDA
Finland,FIN,Europe & Central Asia,High income,
Fiji,FJI,East Asia & Pacific,Upper middle income,Blend
France,FRA,Europe & Central Asia,High income,
Faroe Islands,FRO,Europe & Central Asia,High income,
Micronesia,FSM,East Asia & Pacific,Lower middle income,IDA
Gabon,GAB,Sub-Saharan Africa,Upper middle income,IBRD
United Kingdom,GBR,Europe & Central Asia,High income,
Georgia,GEO,Europe & Central Asia,Upper middle income,IBRD
Ghana,GHA,Sub-Saharan Africa,Lower middle income,IDA
Gibraltar,GIB,Europe & Central Asia,High income,
Guinea,GIN,Sub-Saharan Africa,Lower middle income,IDA
Gambia,GMB,Sub-Saharan Africa,Low income,IDA
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,IDA
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,IBRD
Greece,GRC,Europe & Central Asia,High income,
Grenada,GRD,Latin America & Caribbean,Upper middle income,Blend
Greenland,GRL,Europe & Central Asia,High income,
Guatemala,GTM,Latin America & Caribbean,Upper middle income,IBRD
Guam,GUM,East Asia & Pacific,High income,
Guyana,GUY,Latin America & Caribbean,High income,IDA
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,
Honduras,HND,Latin America & Caribbean,Lower middle income,IDA
Croatia,HRV,Europe & Central Asia,High income,IBRD
Haiti,HTI,Latin America & Caribbean,Lower middle income,IDA
Hungary,HUN,Europe & Central Asia,High income,
Indonesia,IDN,East Asia & Pacific,Upper middle income,IBRD
Isle of Man,IMN,Europe & Central Asia,High income,
India,IND,South Asia,Lower middle income,IBRD
Ireland,IRL,Europe & Central Asia,High income,
Iran,IRN,Middle East & North Africa,Lower middle income,IBRD
Iraq,IRQ,Middle East & North Africa,Upper middle income,IBRD
Iceland,ISL,Europe & Central Asia,High income,
Israel,ISR,Middle East & North Africa,High income,
Italy,ITA,Europe & Central Asia,High income,
Jamaica,JAM,Latin America & Caribbean,Upper middle income,IBRD
Jordan,JOR,Middle East & North Africa,Lower middle income,IBRD
Japan,JPN,East Asia & Pacific,High income,
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,IBRD
Kenya,KEN,Sub-Saharan Africa,Lower middle income,Blend
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,IDA
Cambodia,KHM,East Asia & Pacific,Lower middle income,IDA
Kiribati,KIR,East Asia & Pacific,Lower middle income,IDA
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,IBRD
"Korea, Rep.",KOR,East Asia & Pacific,High income,
Kuwait,KWT,Middle East & North Africa,High income,
Lao PDR,LAO,East Asia & Pacific,Lower middle income,IDA
Lebanon,LBN,Middle East & North Africa,Lower middle income,IBRD
Liberia,LBR,Sub-Saharan Africa,Low income,IDA
Libya,LBY,Middle East & North Africa,Upper middle income,IBRD
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,Blend
Liechtenstein,LIE,Europe & Central Asia,High income,
Sri Lanka,LKA,South Asia,Lower middle income,IDA
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,IDA
Lithuania,LTU,Europe & Central Asia,High income,
Luxembourg,LUX,Europe & Central Asia,High income,
Latvia,LVA,Europe & Central Asia,High income,
"Macao SAR, China",MAC,East Asia & Pacific,High income,
St. Martin (French part),MAF,Latin America & Caribbean,High income,
Morocco,MAR,Middle East & North Africa,Lower middle income,IBRD
Monaco,MCO,Europe & Central Asia,High income,
Moldova,MDA,Europe & Central Asia,Upper middle income,IBRD
Madagascar,MDG,Sub-Saharan Africa,Low income,IDA
Maldives,MDV,South Asia,Upper middle income,IDA
Mexico,MEX,Latin America & Caribbean,Upper middle income,IBRD
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,IDA
North Macedonia,MKD,Europe & Central Asia,Upper middle income,IBRD
Mali,MLI,Sub-Saharan Africa,Low income,IDA
Malta,MLT,Middle East & North Africa,High income,
Myanmar,MMR,East Asia & Pacific,Lower middle income,IDA
Montenegro,MNE,Europe & Central Asia,Upper middle income,IBRD
Mongolia,MNG,East Asia & Pacific,Lower middle income,IBRD
Northern Mariana Islands,MNP,East Asia & Pacific,High income,
Mozambique,MOZ,Sub-Saharan Africa,Low income,IDA
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,IDA
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,IBRD
Malawi,MWI,Sub-Saharan Africa,Low income,IDA
Malaysia,MYS,East Asia & Pacific,Upper middle income,IBRD
Namibia,NAM,Sub-Saharan Africa,Upper middle income,IBRD
New Caledonia,NCL,East Asia & Pacific,High income,
Niger,NER,Sub-Saharan Africa,Low income,IDA
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,Blend
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,IDA
Netherlands,NLD,Europe & Central Asia,High income,
Norway,NOR,Europe & Central Asia,High income,
Nepal,NPL,South Asia,Lower middle income,IDA
Nauru,NRU,East Asia & Pacific,High income,IBRD
New Zealand,NZL,East Asia & Pacific,High income,
Oman,OMN,Middle East & North Africa,High income,
Pakistan,PAK,South Asia,Lower middle income,Blend
Panama,PAN,Latin America & Caribbean,High income,IBRD
Peru,PER,Latin America & Caribbean,Upper middle income,IBRD
Philippines,PHL,East Asia & Pacific,Lower middle income,IBRD
Palau,PLW,East Asia & Pacific,Upper middle income,IBRD
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,Blend
Poland,POL,Europe & Central Asia,High income,IBRD
Puerto Rico,PRI,Latin America & Caribbean,High income,
"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,Low income,
Portugal,PRT,Europe & Central Asia,High income,
Paraguay,PRY,Latin America & Caribbean,Upper middle income,IBRD
West Bank and Gaza,PSE,Middle East & North Africa,Upper middle income,
French Polynesia,PYF,East Asia & Pacific,High income,
Qatar,QAT,Middle East & North Africa,High income,
Romania,ROU,Europe & Central Asia,High income,IBRD
Russian Federation,RUS,Europe & Central Asia,Upper middle income,IBRD
Rwanda,RWA,Sub-Saharan Africa,Low income,IDA
Saudi Arabia,SAU,Middle East & North Africa,High income,
Sudan,SDN,Sub-Saharan Africa,Low income,IDA
Senegal,SEN,Sub-Saharan Africa,Lower middle income,IDA
Singapore,SGP,East Asia & Pacific,High income,
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,IDA
Sierra Leone,SLE,Sub-Saharan Africa,Low income,IDA
El Salvador,SLV,Latin America & Caribbean,Upper middle income,IBRD
San Marino,SMR,Europe & Central Asia,High income,
Somalia,SOM,Sub-Saharan Africa,Low income,IDA
Serbia,SRB,Europe & Central Asia,Upper middle income,IBRD
South Sudan,SSD,Sub-Saharan Africa,Low income,IDA
São Tomé and Príncipe,STP,Sub-Saharan Africa,Lower middle income,IDA
Suriname,SUR,Latin America & Caribbean,Upper middle income,IBRD
Slovak Republic,SVK,Europe & Central Asia,High income,
Slovenia,SVN,Europe & Central Asia,High income,
Sweden,SWE,Europe & Central Asia,High income,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,IBRD
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,
Seychelles,SYC,Sub-Saharan Africa,High income,IBRD
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,IDA
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,
Chad,TCD,Sub-Saharan Africa,Low income,IDA
Togo,TGO,Sub-Saharan Africa,Low income,IDA
Thailand,THA,East Asia & Pacific,Upper middle income,IBRD
Tajikistan,TJK,Europe & Central Asia,Lower middle income,IDA
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,IBRD
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,Blend
Tonga,TON,East Asia & Pacific,Upper middle income,IDA
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,IBRD
Tunisia,TUN,Middle East & North Africa,Lower middle income,IBRD
Türkiye,TUR,Europe & Central Asia,Upper middle income,IBRD
Tuvalu,TUV,East Asia & Pacific,Upper middle income,IDA
Taiwan,TWN,East Asia & Pacific,High income,
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,IDA
Uganda,UGA,Sub-Saharan Africa,Low income,IDA
Ukraine,UKR,Europe & Central Asia,Lower middle income,IBRD
Uruguay,URY,Latin America & Caribbean,High income,IBRD
United States,USA,North America,High income,
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,Blend
St. Vincent,VCT,Latin America & Caribbean,Upper middle income,Blend
Venezuela,VEN,Latin America & Caribbean,,IBRD
British Virgin Islands,VGB,Latin America & Caribbean,High income,
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,
Vietnam,VNM,East Asia & Pacific,Lower middle income,IBRD
Vanuatu,VUT,East Asia & Pacific,Lower middle income,IDA
Samoa,WSM,East Asia & Pacific,Lower middle income,IDA
Kosovo,XKX,Europe & Central Asia,Upper middle income,IDA
Yemen,YEM,Middle East & North Africa,Low income,IDA
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,IBRD
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,IDA
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,Blend
Africa Eastern and Southern,AFE,,,
Africa Western and Central,AFW,,,
Arab World,ARB,,,
Caribbean small states,CSS,,,
Central Europe and the Baltics,CEB,,,
Early-demographic dividend,EAR,,,
East Asia & Pacific,EAS,,,
East Asia & Pacific (excluding high income),EAP,,,
East Asia & Pacific (IDA & IBRD),TEA,,,
Euro area,EMU,,,
Europe & Central Asia,ECS,,,
Europe & Central Asia (excluding high income),ECA,,,
Europe & Central Asia (IDA & IBRD),TEC,,,
European Union,EUU,,,
Fragile and conflict affected situations,FCS,,,
Heavily indebted poor countries (HIPC),HPC,,,
High income,HIC,,,
IBRD only,IBD,,,
IDA & IBRD total,IBT,,,
IDA blend,IDB,,,
IDA only,IDX,,,
IDA total,IDA,,,
Late-demographic dividend,LTE,,,
Latin America & Caribbean,LCN,,,
Latin America & Caribbean (excluding high income),LAC,,,
Latin America & Caribbean (IDA & IBRD),TLA,,,
Least developed countries: UN classification,LDC,,,
Low & middle income,LMY,,,
Low income,LIC,,,
Lower middle income,LMC,,,
Middle East & North Africa,MEA,,,
Middle East & North Africa (excluding high income),MNA,,,
Middle East & North Africa (IDA & IBRD),TMN,,,
Middle income,MIC,,,
North America,NAC,,,
OECD members,OED,,,
Other small states,OSS,,,
Pacific island small states,PSS,,,
Post-demographic dividend,PST,,,
Pre-demographic dividend,PRE,,,
Small states,SST,,,
South Asia,SAS,,,
South Asia (IDA & IBRD),TSA,,,
Sub-Saharan Africa,SSF,,,
Sub-Saharan Africa (excluding high income),SSA,,,
Sub-Saharan Africa (IDA & IBRD),TSS,,,
Upper middle income,UMC,,,
World,WLD,,,
